,fiction_work,film_adaptation,film_year
1092,"The Night of the Iguana (1961) (play), Tennessee Williams
* Basis from One Arm and Other Stories (1967), Tennessee Williams",The Night of the Iguana (1964),['1964']
1093,"Night Shift (1942), Maritta Wolff",The Man I Love (1947),['1947']
1094,"Night Watch (1998), Sergey Lukyanenko","Night Watch (2004)
* Day Watch (2006)","['2004', '2006']"
1095,"Nightmare (1942) (a.k.a. And So to Death), Cornell Woolrich (as William Irish)","Fear in the Night (1947)
Nightmare (1956)","['1947', '1956']"
1096,"Nightmare Alley (1946), William Lindsay Gresham",Nightmare Alley (1947),['1947']
1097,"Nights in Rodanthe (2002), Nicholas Sparks",Nights in Rodanthe (2008),['2008']
1098,"Nightwing (1977), Martin Cruz Smith",Nightwing (1979),['1979']
1099,"Nine and a Half Weeks: A Memoir of a Love Affair (1978), Elizabeth McNeill","9½ Weeks (1986)
* Another 9½ Weeks (1997)
** The First 9½ Weeks (1998)","['1986', '1997', '1998']"
1100,"Nineteen Eighty-Four (1949), George Orwell","Nineteen Eighty-Four (1953) (TV)
Nineteen Eighty-Four (1954) (TV)
1984 (1956)
Nineteen Eighty-Four (1984)","['1953', '1954', '1956', '1984']"
1101,"The Ninth Configuration (1978), William Peter Blatty",The Ninth Configuration (1980),['1980']
1102,"No Country for Old Men (2005), Cormac McCarthy",No Country for Old Men (2007),['2007']
1103,"No Down Payment (1957), John McPartland",No Down Payment (1957),['1957']
1104,"No Orchids for Miss Blandish (1939), James Hadley Chase","No Orchids for Miss Blandish (1948)
The Grissom Gang (1971)
La Chair de l'orchidée (1975)","['1948', '1971', '1975']"
1105,"No se lo Digas a Nadie (Don't Tell Anyone) (1994), Jaime Bayly",No se lo Digas a Nadie (Don't Tell Anyone) (1998),['1998']
1106,"Nobody Loves a Drunken Indian (1967), Clair Huffaker",The Last Warrior (1970),['1970']
1107,"The North Star (1956), Henry Wilson Allen",Tashunga (The North Star) (1996),['1996']
1108,"Northern Lights (1995), Philip Pullman",The Golden Compass (2007),['2007']
1109,"Northwest Passage (1937), Kenneth Roberts",Northwest Passage (1940),['1940']
1110,"Nostromo (1904), Joseph Conrad",Nostromo (1996) (TV) (mini),['1996']
1111,"The Notebook (1996), Nicholas Sparks",The Notebook (2004),['2004']
1112,"Nothing Lasts Forever (1979), Roderick Thorp",Die Hard (1988),['1988']
1113,"Nurse Matilda (1964–1974) (series), Christianna Brand","Nanny McPhee (2005)
* Nanny McPhee and the Big Bang (2010)","['2005', '2010']"
1115,"Odd Man Out (1945), F. L. Green",Odd Man Out (1947),['1947']
1116,"Odds Against Tomorrow (1958), William P. McGivern",Odds Against Tomorrow (1959),['1959']
1117,"Odyssey (8th century BC), Homer","Ulysses (1955)
The Odyssey (1987)
Ulysses' Gaze (Greek: Το βλέμμα του Οδυσσέα, translit. To Vlemma tou Odyssea) (1995)
The Odyssey (1997) (TV) (mini)
O Brother, Where Art Thou? (2000)
Odysseus and the Isle of the Mists (2007) (TV)","['1955', '1987', '1995', '1997', '2000', '2007']"
1118,"Audition (1997), Ryu Murakami",Audition (1999),['1999']
1119,"Of Human Bondage (1915), W. Somerset Maugham","Of Human Bondage (1934)
Of Human Bondage (1946)
Of Human Bondage (1964)","['1934', '1946', '1964']"
1120,"Of Mice and Men (1937), John Steinbeck","Of Mice and Men (1939)
Of Mice and Men (1981) (TV)
Of Mice and Men (1992)","['1939', '1981', '1992']"
1121,"Oil! (1927), Upton Sinclair",There Will Be Blood (2007),['2007']
1122,"The Old Curiosity Shop (1840–1841) (serial) (1841) (novel), Charles Dickens","The Old Curiosity Shop (1911)
The Old Curiosity Shop (1912)
The Old Curiosity Shop (1914)
The Old Curiosity Shop (1921)
The Old Curiosity Shop (1934)
The Old Curiosity Shop (1975)
The Old Curiosity Shop (1979) (TV) (mini)
The Old Curiosity Shop (1984)
The Old Curiosity Shop (1995) (TV)
The Old Curiosity Shop (2007) (TV)","['1911', '1912', '1914', '1921', '1934', '1975', '1979', '1984', '1995', '2007']"
1123,"The Old Man and the Sea (1951) (written), (1952) (published), Ernest Hemingway","The Old Man and the Sea (1958)
The Old Man and the Sea (1990)
The Old Man and the Sea (1999)","['1958', '1990', '1999']"
1124,"Old Yeller (1956), Fred Gipson","Old Yeller (1957)
* Savage Sam (1963)","['1957', '1963']"
1125,"Oliver Twist (1837–1839), Charles Dickens","Oliver Twist (1909)
Oliver Twist (1922)
Oliver Twist (1933)
Oliver Twist (1948)
Oliver! (1968)
Oliver Twist (1982)
Oliver & Company (1988)
Oliver Twist (1997)
Twist (2003)
Boy called Twist (2004)
Oliver Twist (2005)","['1909', '1922', '1933', '1948', '1968', '1982', '1988', '1997', '2003', '2004', '2005']"
1126,"Oliver's Story (1977), Erich Segal",Oliver's Story (1978),['1978']
1127,"Oms en série (Oms by the Dozen) (1957), Stefan Wul",Fantastic Planet (1973),['1973']
1128,"On Her Majesty's Secret Service (1963), Ian Fleming",On Her Majesty's Secret Service (1969),['1969']
1129,"On Stranger Tides (1987), Tim Powers",Pirates of the Caribbean: On Stranger Tides (2011),['2011']
1130,"One Flew Over the Cuckoo's Nest (1962), Ken Kesey",One Flew Over the Cuckoo's Nest (1975),['1975']
1131,"One for the Money (1994), Janet Evanovich",One for the Money (2011),['2011']
1132,"One Gallant Rush (1965), Peter Burchard",Glory (1989),['1989']
1133,"One Hundred Years Ahead (Сто лет тому вперед) (1976), Kir Bulychev",Guest from the Future (Гостья из будущего) (1985) (TV),['1985']
1134,"One More Spring (1933), Robert Nathan",One More Spring (1935),['1935']
1135,"One Shot (novel) (2004), Lee Child",Jack Reacher (film) (2012),['2012']
1136,"One Thousand and One Nights (12th century), various Indian storytellers","Le Palais des Mille et une nuits (1905)
The Thief of Bagdad (1924)
The Thief of Bagdad (1940)
1001 Arabian Nights (1959)
Il fiore delle Mille ed una notte (Arabian Nights) (1974)
Scooby-Doo in Arabian Nights (1994)","['1905', '1924', '1940', '1959', '1974', '1994']"
1137,"The Onion Field (1973), Joseph Wambaugh",The Onion Field (1979),['1979']
1138,"The Open Range Men (1990), Lauran Paine",Open Range (2003),['2003']
1139,"Operation Terror (1961), Gordon Gordon and Mildred Gordon",Experiment in Terror (1962),['1962']
1140,"Ordinary People (1976), Judith Guest",Ordinary People (1980),['1980']
1141,"Orlando: A Biography (1928), Virginia Woolf",Orlando (1992),['1992']
1142,"The Osterman Weekend (1972), Robert Ludlum",The Osterman Weekend (1983),['1983']
1143,"The Other Boleyn Girl (2001), Philippa Gregory","The Other Boleyn Girl (2003) (TV)
The Other Boleyn Girl (2008)","['2003', '2008']"
1144,"The Other One (1955), Catherine Turney",Back from the Dead (1957),['1957']
1145,"The Other Side of Midnight (1973), Sidney Sheldon",The Other Side of Midnight (1977),['1977']
1146,"Our Girl Friday (1951), Ernest K. Gann",Our Girl Friday (1953) (a. k. a. The Adventures of Sadie),['1953']
1147,"Our Man in Havana (1958), Graham Greene",Our Man in Havana (1959),['1959']
1148,"Out of Sight (1996), Elmore Leonard",Out of Sight (1998),['1998']
1149,"An Outcast of the Islands (1896), Joseph Conrad",An Outcast of the Islands (1952),['1952']
1150,"The Outsiders (1967), S. E. Hinton",The Outsiders (1983),['1983']
1151,"Over the River (1933), John Galsworthy",One More River (1934),['1934']
1152,"The Ox-Bow Incident (1940), Walter Van Tilburg Clark",The Ox-Bow Incident (1943),['1943']
1154,"A Painted Devil (1966), Thomas P. Cullinan",The Beguiled (1971),['1971']
1155,"A Painted House (2001), John Grisham",A Painted House (2003) (TV),['2003']
1156,"The Painted Veil (1925), W. Somerset Maugham","The Painted Veil (1934)
The Seventh Sin (1957)
The Painted Veil (2006)","['1934', '1957', '2006']"
1157,"Pan Wolodyjowski (Fire in the Steppe) (1888), Henryk Sienkiewicz",Colonel Wolodyjowski (1968),['1968']
1158,"Parineeta (1914), Sharat Chandra Chattopadhyay","Parineeta (1942)
Parineeta (1953)
Parineeta (1969)
Parineeta (2005)","['1942', '1953', '1969', '2005']"
1159,"Paris Blues (1957), Harold Flender",Paris Blues (1961),['1961']
1160,"Les Particules Élémentaires (1998) (a.k.a. Atomised), Michel Houellebecq",The Elementary Particles (2006),['2006']
1161,"Pasó por aquí (Once in the Saddle) (1947), Eugene Manlove Rhodes",Four Faces West (1948),['1948']
1162,"A Passage to India (1924), E. M. Forster",A Passage to India (1984),['1984']
1163,"Patriot Games (1987), Tom Clancy",Patriot Games (1992),['1992']
1164,"The Peacock Spring (1975), Rumer Godden",The Peacock Spring (1996) (TV),['1996']
1165,"The Pelican Brief (1992), John Grisham",The Pelican Brief (1993),['1993']
1166,"The Penal Colony (1987), Richard Herley",No Escape (1994),['1994']
1167,"The People That Time Forgot (1918), Edgar Rice Burroughs",The People That Time Forgot (1977),['1977']
1168,"Percy Jackson & the Olympians (2005–2009) (series), Rick Riordan
The Lightning Thief (2005)
* The Sea of Monsters (2006)","Percy Jackson & the Olympians (2010–present) (series)
Percy Jackson & the Olympians: The Lightning Thief (2010)
* Percy Jackson & the Olympians: The Sea of Monsters (2013)","['2010', '2010', '2013']"
1169,"Perfect Little Angels (1989), Andrew Neiderman",Perfect Little Angels (1998) (TV),['1998']
1170,"Pet Sematary (1983), Stephen King","Pet Sematary (1989)
* Pet Sematary Two (1992)","['1989', '1992']"
1171,"Peter Pan, or The Boy Who Wouldn't Grow Up (1904) (play)
Peter and Wendy (1911) (novel), J. M. Barrie","Peter Pan (1924)
Peter Pan (1953)
* Return to Never Land (2002)
Peter Pan (1976) (TV)
The Lost Boys (1978)
Peter Pan (USSR, 1987)
Hook (1991)
Peter Pan (2003)
Neverland (2003)
Peter Pan (2003)
Neverland (2003)
Finding Neverland (2004)
Tinker Bell (2008–2012) (series)
Tinker Bell (2008) (V)
* Tinker Bell and the Lost Treasure (2009)
** Tinker Bell and the Great Fairy Rescue (2010) (V)
*** Pixie Hollow Games (2011) (V)
**** Secret of the Wings (2012) (V)","['1924', '1953', '2002', '1976', '1978', '1991', '2003', '2003', '2003', '2003', '2004', '2008', '2008', '2009', '2010', '2011', '2012']"
1172,"Peyton Place (1956), Grace Metalious",Peyton Place (1957),['1957']
1173,"The Phantom Crown: The Story of Maximilian & Carlota of Mexico (1934), Bertita Harding",Juarez (1939),['1939']
1174,"Phantom Lady (1942), Cornell Woolrich (as William Irish)",Phantom Lady (1944),['1944']
1175,"The Phantom of the Opera (1909–1910, 1911), Gaston Leroux","The Phantom of the Opera (1925)
Phantom of the Opera (1943)
The Phantom of the Opera (1962)
The Phantom of the Opera (1989)
The Phantom of the Opera (1998)
The Phantom of the Opera (2004)","['1925', '1943', '1962', '1989', '1998', '2004']"
1176,"Pharaoh (1895), Bolesław Prus",Pharaoh (1966),['1966']
1177,"The Philadelphian (1957), Richard P. Powell",The Young Philadelphians (1959),['1959']
1178,"El Pianista (1985), Manuel Vázquez Montalbán",The Pianist (1998),['1998']
1179,"The Pickwick Papers (1836–1837) (serial), (1837) (novel), Charles Dickens","The Pickwick Papers (1913)
The Adventures of Mr. Pickwick (1921)
The Pickwick Papers (1952)","['1913', '1921', '1952']"
1180,"The Picture of Dorian Gray (1890), Oscar Wilde","Dorian Grays Portræt (1910)
The Picture of Dorian Gray (1913)
The Picture of Dorian Gray (1916)
Das Bildnis des Dorian Gray (1917)
Az Élet királya (The Picture of Dorian Gray) (1918)
The Picture of Dorian Gray (1945)
El Retrato de Dorian Gray (1969) (TV)
Dorian Gray (a. k. a. The Evils of Dorian Gray or The Secret of Dorian Gray) (1970)
The Picture of Dorian Gray (1973) (TV)
The Picture of Dorian Gray (1976) (TV)
Le Portrait de Dorian Gray (1977)
The Sins of Dorian Gray (1983) (TV)
Dorian (a. k. a. Pact with the Devil) (2001)
The League of Extraordinary Gentlemen (2003)
Dorian (2004)
The Picture of Dorian Gray (2004)
The Picture of Dorian Gray (2006)
The Picture of Dorian Gray (2007)
The Picture (of Dorian Gray) (2009)
Dorian Gray (2009)","['1910', '1913', '1916', '1917', '1918', '1945', '1969', '1970', '1973', '1976', '1977', '1983', '2001', '2003', '2004', '2004', '2006', '2007', '2009', '2009']"
1181,"The Pillar of Light (1990), Gerald N. Lund",The Work and the Glory (2004),['2004']
1182,"Pin (1981), Andrew Neiderman",Pin (1988),['1988']
1183,"Pioneer, Go Home! (1959), Richard P. Powell",Follow That Dream (1964),['1964']
1184,"The Pirates! (2004–2012) (series), Gideon Defoe
The Pirates! in an Adventure with Scientists (2004)
* The Pirates! in an Adventure with Whaling (2005)",The Pirates! In an Adventure with Scientists (2012),['2012']
1185,"Pity My Simplicity (1944), Christopher Massie",Love Letters (1945),['1945']
1186,"La Planète des singes (1963), Pierre Boulle","Planet of the Apes (1968–1973, 2001–present) (series)
Planet of the Apes (1968)
* Beneath the Planet of the Apes (1970)
** Escape from the Planet of the Apes (1971)
** * Conquest of the Planet of the Apes (1972)
** ** Battle for the Planet of the Apes (1973)
Planet of the Apes (2001)
* Rise of the Planet of the Apes (2011)","['1968', '1968', '1970', '1971', '1972', '1973', '2001', '2011']"
1187,"Pleasure Island (1949), William Maier",The Girls of Pleasure Island (1953),['1953']
1188,"Point de lendemain: conte dédiée à la reine (1876), Dominique Vivant",The Lovers (Les Amants) (1958),['1958']
1189,"The Polar Express (1985), Chris Van Allsburg",The Polar Express (2004),['2004']
1190,"Pollyanna (1913), Eleanor H. Porter","Pollyanna (1920)
Pollyanna (1960)
Hayat sevince güzel (1971)
Pollyanna (1973) (TV) (serial)
The Adventures of Pollyanna (1982) (TV)
Polly (1989) (TV)
* Polly: Comin' Home! (1990) (TV)
Pollyanna (2003) (TV)","['1920', '1960', '1971', '1973', '1982', '1989', '1990', '2003']"
1191,"Le Pont de la Rivière Kwai (1952), Pierre Boulle","The Bridge on the River Kwai (1957)
* Return from the River Kwai (1988)","['1957', '1988']"
1192,"Poodle Springs (1959–1988) (written), (1989) (published), Raymond Chandler and Robert B. Parker",Poodle Springs (1998) (TV),['1998']
1193,"The Pope of Greenwich Village (1979), Vincent Patrick",The Pope of Greenwich Village (1984),['1984']
1194,"Popiół i diament (Ashes and Diamonds) (1948), Jerzy Andrzejewski",Popiół i diament (Ashes and Diamonds) (1958),['1958']
1195,"Portnoy's Complaint (1969), Philip Roth",Portnoy's Complaint (1972),['1972']
1196,"Portrait of Jennie (1940), Robert Nathan",Portrait of Jennie (1948),['1948']
1197,"The Poseidon Adventure (1972), Paul Gallico","The Poseidon Adventure (1972)
* Beyond the Poseidon Adventure (1979)
The Poseidon Adventure (2005)
Poseidon (2006)","['1972', '1979', '2005', '2006']"
1198,"The Positronic Man (1993), Isaac Asimov and Robert Silverberg",Bicentennial Man (1999),['1999']
1199,"Possession: A Romance (1990), A. S. Byatt",Possession (2002),['2002']
1200,"The Postman (1985), David Brin",The Postman (1997),['1997']
1201,"The Postman Always Rings Twice (1934), James Cain","Le Dernier Tournant (The Last Turning) (1939)
Ossessione (Obsession) (1942)
The Postman Always Rings Twice (1946)
The Postman Always Rings Twice (1981)","['1939', '1942', '1946', '1981']"
1202,"The Power (1956), Frank M. Robinson",The Power (1968),['1968']
1203,"The Power and the Glory (1940), Graham Greene",The Fugitive (1947),['1947']
1204,"The Power of One (1989), Bryce Courtenay",The Power of One (1992),['1992']
1205,"Pożegnania (1948), Stanisław Dygat",Farewells (1958),['1958']
1206,"Presumed Innocent (1987), Scott Turow",Presumed Innocent (1990),['1990']
1207,"Pride and Prejudice (1813), Jane Austen","Pride and Prejudice (1940)
Pride & Prejudice: A Latter-Day Comedy (2003)
Bride and Prejudice (2004)
Pride & Prejudice (2005)","['1940', '2003', '2004', '2005']"
1208,"The Prince and the Pauper (1881), Mark Twain","The Prince and the Pauper (1909)
The Prince and the Pauper (1915)
Der Prinz und der Bettelknabe (1920)
Yiskor (1933)
The Prince and the Pauper (1937)
The Prince and the Pauper (1943)
The Prince and the Pauper (1962)
Raja Aur Runk (1968)
The Adventures of the Prince and the Pauper (1969)
Princ a chudas (1971) (TV)
Prints i nishchiy (1972) (TV)
Crossed Swords (a. k. a. The Prince and the Pauper) (1977)
Ringo (1978) (TV) (special)
Trading Places (1983)
The Prince and the Pauper (1990) (short film)
Dave (1993)
The Prince and the Pauper (1995)
It Takes Two (1995)
The Prince and the Pauper (1997)
The Prince and the Surfer (1999)
The Pooch and the Pauper (2000) (TV)
The Prince and the Pauper (2000) (TV)
Barbie as the Princess and the Pauper (2004)
The Prince and the Pauper (2005)
Garfield: A Tale of Two Kitties (2006)
A Modern Twain Story: The Prince and the Pauper (2007)","['1909', '1915', '1920', '1933', '1937', '1943', '1962', '1968', '1969', '1971', '1972', '1977', '1978', '1983', '1990', '1993', '1995', '1995', '1997', '1999', '2000', '2000', '2004', '2005', '2006', '2007']"
1209,"The Prince of Tides (1986), Pat Conroy",The Prince of Tides (1991),['1991']
1210,"The Princess Bride (1973), William Goldman",The Princess Bride (1987),['1987']
1211,"The Princess Diaries (2000–2009) (series), Meg Cabot","The Princess Diaries (2002–2004) (series)
The Princess Diaries (2002)
* The Princess Diaries 2: Royal Engagement (2004)","['2002', '2002', '2004']"
1212,"A Princess of Mars (1917), Edgar Rice Burroughs","Princess of Mars (2009) (V)
John Carter (2012)","['2009', '2012']"
1213,"The Prisoner of Zenda (1894), Anthony Hope","The Prisoner of Zenda (1913)
The Prisoner of Zenda (1915)
The Prisoner of Zenda (1922)
The Prisoner of Zenda (1937)
The Prisoner of Zenda (1952)
The Prisoner of Zenda (1979)
The Prisoner of Zenda (1984)","['1913', '1915', '1922', '1937', '1952', '1979', '1984']"
1214,"Promise at Dawn (1961), Romain Gary",Promise at Dawn (1970),['1970']
1215,"Pronto (1993), Elmore Leonard",Pronto (1997) (TV),['1997']
1216,"Professor Unrat (1905), Heinrich Mann",Der blaue Engel (1930),['1930']
1217,"Psycho (1959), Robert Bloch","Psycho (1960)
* Psycho II (1983)
** Psycho III (1986)
** * Psycho IV: The Beginning (1990) (TV)
Psycho (1998)","['1960', '1983', '1986', '1990', '1998']"
